Race,Age,Region,Gender,Satisfied,Total
white,<35,northeast,male,288,465
white,<35,northeast,female,60,117
white,35-44,northeast,male,224,390
white,35-44,northeast,female,35,54
white,>44,northeast,male,337,509
white,>44,northeast,female,70,100
other,<35,northeast,male,38,71
other,<35,northeast,female,19,54
other,35-44,northeast,male,32,43
other,35-44,northeast,female,22,42
other,>44,northeast,male,21,29
other,>44,northeast,female,15,25
white,<35,mid-atlantic,male,90,135
white,<35,mid-atlantic,female,19,31
white,35-44,mid-atlantic,male,96,138
white,35-44,mid-atlantic,female,12,17
white,>44,mid-atlantic,male,124,163
white,>44,mid-atlantic,female,17,19
other,<35,mid-atlantic,male,18,24
other,<35,mid-atlantic,female,13,20
other,35-44,mid-atlantic,male,7,9
other,35-44,mid-atlantic,female,0,3
other,>44,mid-atlantic,male,9,11
other,>44,mid-atlantic,female,1,2
white,<35,southern,male,226,354
white,<35,southern,female,88,145
white,35-44,southern,male,189,306
white,35-44,southern,female,44,78
white,>44,southern,male,156,229
white,>44,southern,female,70,95
other,<35,southern,male,45,76
other,<35,southern,female,47,82
other,35-44,southern,male,18,21
other,35-44,southern,female,13,20
other,>44,southern,male,11,13
other,>44,southern,female,9,11
white,<35,midwest,male,285,464
white,<35,midwest,female,110,203
white,35-44,midwest,male,225,366
white,35-44,midwest,female,53,77
white,>44,midwest,male,324,464
white,>44,midwest,female,60,107
other,<35,midwest,male,40,65
other,<35,midwest,female,66,122
other,35-44,midwest,male,19,30
other,35-44,midwest,female,25,44
other,>44,midwest,male,22,24
other,>44,midwest,female,11,23
white,<35,northwest,male,270,450
white,<35,northwest,female,176,327
white,35-44,northwest,male,215,323
white,35-44,northwest,female,80,120
white,>44,northwest,male,269,405
white,>44,northwest,female,110,150
other,<35,northwest,male,36,56
other,<35,northwest,female,25,41
other,35-44,northwest,male,9,16
other,35-44,northwest,female,11,16
other,>44,northwest,male,16,19
other,>44,northwest,female,4,9
white,<35,southwest,male,252,378
white,<35,southwest,female,97,158
white,35-44,southwest,male,162,234
white,35-44,southwest,female,47,74
white,>44,southwest,male,199,292
white,>44,southwest,female,62,86
other,<35,southwest,male,69,96
other,<35,southwest,female,45,81
other,35-44,southwest,male,14,21
other,35-44,southwest,female,8,12
other,>44,southwest,male,14,19
other,>44,southwest,female,2,2
white,<35,pacific,male,119,177
white,<35,pacific,female,62,95
white,35-44,pacific,male,66,86
white,35-44,pacific,female,20,30
white,>44,pacific,male,67,88
white,>44,pacific,female,25,35
other,<35,pacific,male,45,61
other,<35,pacific,female,22,37
other,35-44,pacific,male,15,25
other,35-44,pacific,female,10,18
other,>44,pacific,male,8,14
other,>44,pacific,female,6,8
